Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish
0.02,0.05,-0.01,0.8115,0.8115
0.025,0.05,-0.01,0.7474,0.7493
0.030000000000000002,0.05,-0.01,0.6782,0.6952
0.035,0.05,-0.01,0.5861,0.6616
0.04000000000000001,0.05,-0.01,0.4885,0.637
0.045000000000000005,0.05,-0.01,0.4023,0.6229
0.05,0.05,-0.01,0.3295,0.6137
0.05500000000000001,0.05,-0.01,0.264,0.6101
0.06000000000000001,0.05,-0.01,0.2078,0.6081
0.065,0.05,-0.01,0.1666,0.6059
0.07,0.05,-0.01,0.1308,0.6035
0.07500000000000001,0.05,-0.01,0.1037,0.6006
0.08000000000000002,0.05,-0.01,0.0818,0.599
0.02,0.05,-0.005,0.8115,0.8115
0.025,0.05,-0.005,0.7474,0.7493
0.030000000000000002,0.05,-0.005,0.6782,0.6952
0.035,0.05,-0.005,0.5861,0.6616
0.04000000000000001,0.05,-0.005,0.4885,0.637
0.045000000000000005,0.05,-0.005,0.4023,0.6229
0.05,0.05,-0.005,0.3295,0.6137
0.05500000000000001,0.05,-0.005,0.264,0.6101
0.06000000000000001,0.05,-0.005,0.2078,0.6081
0.065,0.05,-0.005,0.1666,0.6059
0.07,0.05,-0.005,0.1308,0.6035
0.07500000000000001,0.05,-0.005,0.1037,0.6006
0.08000000000000002,0.05,-0.005,0.0818,0.599
0.02,0.05,0.0,0.8115,0.8115
0.025,0.05,0.0,0.7474,0.7493
0.030000000000000002,0.05,0.0,0.6782,0.6952
0.035,0.05,0.0,0.5861,0.6616
0.04000000000000001,0.05,0.0,0.4885,0.637
0.045000000000000005,0.05,0.0,0.4023,0.6229
0.05,0.05,0.0,0.3295,0.6137
0.05500000000000001,0.05,0.0,0.264,0.6101
0.06000000000000001,0.05,0.0,0.2078,0.6081
0.065,0.05,0.0,0.1666,0.6059
0.07,0.05,0.0,0.1308,0.6035
0.07500000000000001,0.05,0.0,0.1037,0.6006
0.08000000000000002,0.05,0.0,0.0818,0.599
0.02,0.05,0.005,0.8115,0.8115
0.025,0.05,0.005,0.7474,0.7493
0.030000000000000002,0.05,0.005,0.6782,0.6952
0.035,0.05,0.005,0.5861,0.6616
0.04000000000000001,0.05,0.005,0.4885,0.637
0.045000000000000005,0.05,0.005,0.4023,0.6229
0.05,0.05,0.005,0.3295,0.6137
0.05500000000000001,0.05,0.005,0.264,0.6101
0.06000000000000001,0.05,0.005,0.2078,0.6081
0.065,0.05,0.005,0.1666,0.6059
0.07,0.05,0.005,0.1308,0.6035
0.07500000000000001,0.05,0.005,0.1037,0.6006
0.08000000000000002,0.05,0.005,0.0818,0.599
0.02,0.05,0.01,0.8115,0.8115
0.025,0.05,0.01,0.7474,0.7493
0.030000000000000002,0.05,0.01,0.6782,0.6952
0.035,0.05,0.01,0.5861,0.6616
0.04000000000000001,0.05,0.01,0.4885,0.637
0.045000000000000005,0.05,0.01,0.4023,0.6229
0.05,0.05,0.01,0.3295,0.6137
0.05500000000000001,0.05,0.01,0.264,0.6101
0.06000000000000001,0.05,0.01,0.2078,0.6081
0.065,0.05,0.01,0.1666,0.6059
0.07,0.05,0.01,0.1308,0.6035
0.07500000000000001,0.05,0.01,0.1037,0.6006
0.08000000000000002,0.05,0.01,0.0818,0.599
0.02,0.05,0.015,0.8115,0.8115
0.025,0.05,0.015,0.7474,0.7493
0.030000000000000002,0.05,0.015,0.6782,0.6952
0.035,0.05,0.015,0.5861,0.6616
0.04000000000000001,0.05,0.015,0.4885,0.637
0.045000000000000005,0.05,0.015,0.4023,0.6229
0.05,0.05,0.015,0.3295,0.6137
0.05500000000000001,0.05,0.015,0.264,0.6101
0.06000000000000001,0.05,0.015,0.2078,0.6081
0.065,0.05,0.015,0.1666,0.6059
0.07,0.05,0.015,0.1308,0.6035
0.07500000000000001,0.05,0.015,0.1037,0.6006
0.08000000000000002,0.05,0.015,0.0818,0.599
0.02,0.05,0.02,0.6475,0.6475
0.025,0.05,0.02,0.5956,0.5968
0.030000000000000002,0.05,0.02,0.5387,0.5526
0.035,0.05,0.02,0.4651,0.5257
0.04000000000000001,0.05,0.02,0.3878,0.5065
0.045000000000000005,0.05,0.02,0.318,0.4952
0.05,0.05,0.02,0.2607,0.4883
0.05500000000000001,0.05,0.02,0.2082,0.4857
0.06000000000000001,0.05,0.02,0.1632,0.4842
0.065,0.05,0.02,0.1314,0.4825
0.07,0.05,0.02,0.1037,0.4803
0.07500000000000001,0.05,0.02,0.0825,0.4781
0.08000000000000002,0.05,0.02,0.0648,0.4769
0.02,0.05,0.025,0.6475,0.6475
0.025,0.05,0.025,0.5956,0.5968
0.030000000000000002,0.05,0.025,0.5387,0.5526
0.035,0.05,0.025,0.4651,0.5257
0.04000000000000001,0.05,0.025,0.3878,0.5065
0.045000000000000005,0.05,0.025,0.318,0.4952
0.05,0.05,0.025,0.2607,0.4883
0.05500000000000001,0.05,0.025,0.2082,0.4857
0.06000000000000001,0.05,0.025,0.1632,0.4842
0.065,0.05,0.025,0.1314,0.4825
0.07,0.05,0.025,0.1037,0.4803
0.07500000000000001,0.05,0.025,0.0825,0.4781
0.08000000000000002,0.05,0.025,0.0648,0.4769
0.02,0.05,0.03,0.6475,0.6475
0.025,0.05,0.03,0.5956,0.5968
0.030000000000000002,0.05,0.03,0.5387,0.5526
0.035,0.05,0.03,0.4651,0.5257
0.04000000000000001,0.05,0.03,0.3878,0.5065
0.045000000000000005,0.05,0.03,0.318,0.4952
0.05,0.05,0.03,0.2607,0.4883
0.05500000000000001,0.05,0.03,0.2082,0.4857
0.06000000000000001,0.05,0.03,0.1632,0.4842
0.065,0.05,0.03,0.1314,0.4825
0.07,0.05,0.03,0.1037,0.4803
0.07500000000000001,0.05,0.03,0.0825,0.4781
0.08000000000000002,0.05,0.03,0.0648,0.4769
0.02,0.05,0.035,0.6475,0.6475
0.025,0.05,0.035,0.5956,0.5968
0.030000000000000002,0.05,0.035,0.5387,0.5526
0.035,0.05,0.035,0.4651,0.5257
0.04000000000000001,0.05,0.035,0.3878,0.5065
0.045000000000000005,0.05,0.035,0.318,0.4952
0.05,0.05,0.035,0.2607,0.4883
0.05500000000000001,0.05,0.035,0.2082,0.4857
0.06000000000000001,0.05,0.035,0.1632,0.4842
0.065,0.05,0.035,0.1314,0.4825
0.07,0.05,0.035,0.1037,0.4803
0.07500000000000001,0.05,0.035,0.0825,0.4781
0.08000000000000002,0.05,0.035,0.0648,0.4769
0.02,0.055,-0.01,0.7856,0.7856
0.025,0.055,-0.01,0.7227,0.7248
0.030000000000000002,0.055,-0.01,0.6541,0.6708
0.035,0.055,-0.01,0.5619,0.635
0.04000000000000001,0.055,-0.01,0.47,0.6113
0.045000000000000005,0.055,-0.01,0.3864,0.5973
0.05,0.055,-0.01,0.3164,0.59
0.05500000000000001,0.055,-0.01,0.2531,0.5865
0.06000000000000001,0.055,-0.01,0.2009,0.5838
0.065,0.055,-0.01,0.1606,0.5808
0.07,0.055,-0.01,0.1263,0.5787
0.07500000000000001,0.055,-0.01,0.1001,0.5769
0.08000000000000002,0.055,-0.01,0.0785,0.5745
0.02,0.055,-0.005,0.7856,0.7856
0.025,0.055,-0.005,0.7227,0.7248
0.030000000000000002,0.055,-0.005,0.6541,0.6708
0.035,0.055,-0.005,0.5619,0.635
0.04000000000000001,0.055,-0.005,0.47,0.6113
0.045000000000000005,0.055,-0.005,0.3864,0.5973
0.05,0.055,-0.005,0.3164,0.59
0.05500000000000001,0.055,-0.005,0.2531,0.5865
0.06000000000000001,0.055,-0.005,0.2009,0.5838
0.065,0.055,-0.005,0.1606,0.5808
0.07,0.055,-0.005,0.1263,0.5787
0.07500000000000001,0.055,-0.005,0.1001,0.5769
0.08000000000000002,0.055,-0.005,0.0785,0.5745
0.02,0.055,0.0,0.7856,0.7856
0.025,0.055,0.0,0.7227,0.7248
0.030000000000000002,0.055,0.0,0.6541,0.6708
0.035,0.055,0.0,0.5619,0.635
0.04000000000000001,0.055,0.0,0.47,0.6113
0.045000000000000005,0.055,0.0,0.3864,0.5973
0.05,0.055,0.0,0.3164,0.59
0.05500000000000001,0.055,0.0,0.2531,0.5865
0.06000000000000001,0.055,0.0,0.2009,0.5838
0.065,0.055,0.0,0.1606,0.5808
0.07,0.055,0.0,0.1263,0.5787
0.07500000000000001,0.055,0.0,0.1001,0.5769
0.08000000000000002,0.055,0.0,0.0785,0.5745
0.02,0.055,0.005,0.7856,0.7856
0.025,0.055,0.005,0.7227,0.7248
0.030000000000000002,0.055,0.005,0.6541,0.6708
0.035,0.055,0.005,0.5619,0.635
0.04000000000000001,0.055,0.005,0.47,0.6113
0.045000000000000005,0.055,0.005,0.3864,0.5973
0.05,0.055,0.005,0.3164,0.59
0.05500000000000001,0.055,0.005,0.2531,0.5865
0.06000000000000001,0.055,0.005,0.2009,0.5838
0.065,0.055,0.005,0.1606,0.5808
0.07,0.055,0.005,0.1263,0.5787
0.07500000000000001,0.055,0.005,0.1001,0.5769
0.08000000000000002,0.055,0.005,0.0785,0.5745
0.02,0.055,0.01,0.7856,0.7856
0.025,0.055,0.01,0.7227,0.7248
0.030000000000000002,0.055,0.01,0.6541,0.6708
0.035,0.055,0.01,0.5619,0.635
0.04000000000000001,0.055,0.01,0.47,0.6113
0.045000000000000005,0.055,0.01,0.3864,0.5973
0.05,0.055,0.01,0.3164,0.59
0.05500000000000001,0.055,0.01,0.2531,0.5865
0.06000000000000001,0.055,0.01,0.2009,0.5838
0.065,0.055,0.01,0.1606,0.5808
0.07,0.055,0.01,0.1263,0.5787
0.07500000000000001,0.055,0.01,0.1001,0.5769
0.08000000000000002,0.055,0.01,0.0785,0.5745
0.02,0.055,0.015,0.7856,0.7856
0.025,0.055,0.015,0.7227,0.7248
0.030000000000000002,0.055,0.015,0.6541,0.6708
0.035,0.055,0.015,0.5619,0.635
0.04000000000000001,0.055,0.015,0.47,0.6113
0.045000000000000005,0.055,0.015,0.3864,0.5973
0.05,0.055,0.015,0.3164,0.59
0.05500000000000001,0.055,0.015,0.2531,0.5865
0.06000000000000001,0.055,0.015,0.2009,0.5838
0.065,0.055,0.015,0.1606,0.5808
0.07,0.055,0.015,0.1263,0.5787
0.07500000000000001,0.055,0.015,0.1001,0.5769
0.08000000000000002,0.055,0.015,0.0785,0.5745
0.02,0.055,0.02,0.6264,0.6264
0.025,0.055,0.02,0.5754,0.5772
0.030000000000000002,0.055,0.02,0.5192,0.5328
0.035,0.055,0.02,0.4461,0.5045
0.04000000000000001,0.055,0.02,0.3724,0.4854
0.045000000000000005,0.055,0.02,0.3045,0.4748
0.05,0.055,0.02,0.2501,0.4691
0.05500000000000001,0.055,0.02,0.1992,0.4664
0.06000000000000001,0.055,0.02,0.158,0.4645
