Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish
0.02,0.05,-0.01,0.7846,0.7846
0.025,0.05,-0.01,0.7148,0.7173
0.030000000000000002,0.05,-0.01,0.6401,0.6594
0.035,0.05,-0.01,0.5376,0.6198
0.04000000000000001,0.05,-0.01,0.4389,0.5942
0.045000000000000005,0.05,-0.01,0.3502,0.5778
0.05,0.05,-0.01,0.2768,0.5687
0.05500000000000001,0.05,-0.01,0.2136,0.5637
0.06000000000000001,0.05,-0.01,0.1652,0.5609
0.065,0.05,-0.01,0.1265,0.5581
0.07,0.05,-0.01,0.0932,0.5551
0.07500000000000001,0.05,-0.01,0.0703,0.5531
0.08000000000000002,0.05,-0.01,0.0544,0.5513
0.02,0.05,-0.005,0.7846,0.7846
0.025,0.05,-0.005,0.7148,0.7173
0.030000000000000002,0.05,-0.005,0.6401,0.6594
0.035,0.05,-0.005,0.5376,0.6198
0.04000000000000001,0.05,-0.005,0.4389,0.5942
0.045000000000000005,0.05,-0.005,0.3502,0.5778
0.05,0.05,-0.005,0.2768,0.5687
0.05500000000000001,0.05,-0.005,0.2136,0.5637
0.06000000000000001,0.05,-0.005,0.1652,0.5609
0.065,0.05,-0.005,0.1265,0.5581
0.07,0.05,-0.005,0.0932,0.5551
0.07500000000000001,0.05,-0.005,0.0703,0.5531
0.08000000000000002,0.05,-0.005,0.0544,0.5513
0.02,0.05,0.0,0.7846,0.7846
0.025,0.05,0.0,0.7148,0.7173
0.030000000000000002,0.05,0.0,0.6401,0.6594
0.035,0.05,0.0,0.5376,0.6198
0.04000000000000001,0.05,0.0,0.4389,0.5942
0.045000000000000005,0.05,0.0,0.3502,0.5778
0.05,0.05,0.0,0.2768,0.5687
0.05500000000000001,0.05,0.0,0.2136,0.5637
0.06000000000000001,0.05,0.0,0.1652,0.5609
0.065,0.05,0.0,0.1265,0.5581
0.07,0.05,0.0,0.0932,0.5551
0.07500000000000001,0.05,0.0,0.0703,0.5531
0.08000000000000002,0.05,0.0,0.0544,0.5513
0.02,0.05,0.005,0.7846,0.7846
0.025,0.05,0.005,0.7148,0.7173
0.030000000000000002,0.05,0.005,0.6401,0.6594
0.035,0.05,0.005,0.5376,0.6198
0.04000000000000001,0.05,0.005,0.4389,0.5942
0.045000000000000005,0.05,0.005,0.3502,0.5778
0.05,0.05,0.005,0.2768,0.5687
0.05500000000000001,0.05,0.005,0.2136,0.5637
0.06000000000000001,0.05,0.005,0.1652,0.5609
0.065,0.05,0.005,0.1265,0.5581
0.07,0.05,0.005,0.0932,0.5551
0.07500000000000001,0.05,0.005,0.0703,0.5531
0.08000000000000002,0.05,0.005,0.0544,0.5513
0.02,0.05,0.01,0.7846,0.7846
0.025,0.05,0.01,0.7148,0.7173
0.030000000000000002,0.05,0.01,0.6401,0.6594
0.035,0.05,0.01,0.5376,0.6198
0.04000000000000001,0.05,0.01,0.4389,0.5942
0.045000000000000005,0.05,0.01,0.3502,0.5778
0.05,0.05,0.01,0.2768,0.5687
0.05500000000000001,0.05,0.01,0.2136,0.5637
0.06000000000000001,0.05,0.01,0.1652,0.5609
0.065,0.05,0.01,0.1265,0.5581
0.07,0.05,0.01,0.0932,0.5551
0.07500000000000001,0.05,0.01,0.0703,0.5531
0.08000000000000002,0.05,0.01,0.0544,0.5513
0.02,0.05,0.015,0.7846,0.7846
0.025,0.05,0.015,0.7148,0.7173
0.030000000000000002,0.05,0.015,0.6401,0.6594
0.035,0.05,0.015,0.5376,0.6198
0.04000000000000001,0.05,0.015,0.4389,0.5942
0.045000000000000005,0.05,0.015,0.3502,0.5778
0.05,0.05,0.015,0.2768,0.5687
0.05500000000000001,0.05,0.015,0.2136,0.5637
0.06000000000000001,0.05,0.015,0.1652,0.5609
0.065,0.05,0.015,0.1265,0.5581
0.07,0.05,0.015,0.0932,0.5551
0.07500000000000001,0.05,0.015,0.0703,0.5531
0.08000000000000002,0.05,0.015,0.0544,0.5513
0.02,0.05,0.02,0.6252,0.6252
0.025,0.05,0.02,0.5687,0.5709
0.030000000000000002,0.05,0.02,0.5071,0.5236
0.035,0.05,0.02,0.4268,0.492
0.04000000000000001,0.05,0.02,0.3467,0.4713
0.045000000000000005,0.05,0.02,0.2763,0.459
0.05,0.05,0.02,0.2181,0.452
0.05500000000000001,0.05,0.02,0.1678,0.4477
0.06000000000000001,0.05,0.02,0.1309,0.4456
0.065,0.05,0.02,0.0995,0.4432
0.07,0.05,0.02,0.074,0.4408
0.07500000000000001,0.05,0.02,0.0557,0.4391
0.08000000000000002,0.05,0.02,0.0437,0.4376
0.02,0.05,0.025,0.6252,0.6252
0.025,0.05,0.025,0.5687,0.5709
0.030000000000000002,0.05,0.025,0.5071,0.5236
0.035,0.05,0.025,0.4268,0.492
0.04000000000000001,0.05,0.025,0.3467,0.4713
0.045000000000000005,0.05,0.025,0.2763,0.459
0.05,0.05,0.025,0.2181,0.452
0.05500000000000001,0.05,0.025,0.1678,0.4477
0.06000000000000001,0.05,0.025,0.1309,0.4456
0.065,0.05,0.025,0.0995,0.4432
0.07,0.05,0.025,0.074,0.4408
0.07500000000000001,0.05,0.025,0.0557,0.4391
0.08000000000000002,0.05,0.025,0.0437,0.4376
0.02,0.05,0.03,0.6252,0.6252
0.025,0.05,0.03,0.5687,0.5709
0.030000000000000002,0.05,0.03,0.5071,0.5236
0.035,0.05,0.03,0.4268,0.492
0.04000000000000001,0.05,0.03,0.3467,0.4713
0.045000000000000005,0.05,0.03,0.2763,0.459
0.05,0.05,0.03,0.2181,0.452
0.05500000000000001,0.05,0.03,0.1678,0.4477
0.06000000000000001,0.05,0.03,0.1309,0.4456
0.065,0.05,0.03,0.0995,0.4432
0.07,0.05,0.03,0.074,0.4408
0.07500000000000001,0.05,0.03,0.0557,0.4391
0.08000000000000002,0.05,0.03,0.0437,0.4376
0.02,0.05,0.035,0.6252,0.6252
0.025,0.05,0.035,0.5687,0.5709
0.030000000000000002,0.05,0.035,0.5071,0.5236
0.035,0.05,0.035,0.4268,0.492
0.04000000000000001,0.05,0.035,0.3467,0.4713
0.045000000000000005,0.05,0.035,0.2763,0.459
0.05,0.05,0.035,0.2181,0.452
0.05500000000000001,0.05,0.035,0.1678,0.4477
0.06000000000000001,0.05,0.035,0.1309,0.4456
0.065,0.05,0.035,0.0995,0.4432
0.07,0.05,0.035,0.074,0.4408
0.07500000000000001,0.05,0.035,0.0557,0.4391
0.08000000000000002,0.05,0.035,0.0437,0.4376
0.02,0.055,-0.01,0.7557,0.7557
0.025,0.055,-0.01,0.6897,0.6916
0.030000000000000002,0.055,-0.01,0.6125,0.6334
0.035,0.055,-0.01,0.5111,0.5909
0.04000000000000001,0.055,-0.01,0.4157,0.5657
0.045000000000000005,0.055,-0.01,0.3324,0.549
0.05,0.055,-0.01,0.2641,0.5385
0.05500000000000001,0.055,-0.01,0.2041,0.535
0.06000000000000001,0.055,-0.01,0.1574,0.5321
0.065,0.055,-0.01,0.1199,0.5294
0.07,0.055,-0.01,0.0887,0.5266
0.07500000000000001,0.055,-0.01,0.0682,0.5249
0.08000000000000002,0.055,-0.01,0.0522,0.5223
0.02,0.055,-0.005,0.7557,0.7557
0.025,0.055,-0.005,0.6897,0.6916
0.030000000000000002,0.055,-0.005,0.6125,0.6334
0.035,0.055,-0.005,0.5111,0.5909
0.04000000000000001,0.055,-0.005,0.4157,0.5657
0.045000000000000005,0.055,-0.005,0.3324,0.549
0.05,0.055,-0.005,0.2641,0.5385
0.05500000000000001,0.055,-0.005,0.2041,0.535
0.06000000000000001,0.055,-0.005,0.1574,0.5321
0.065,0.055,-0.005,0.1199,0.5294
0.07,0.055,-0.005,0.0887,0.5266
0.07500000000000001,0.055,-0.005,0.0682,0.5249
0.08000000000000002,0.055,-0.005,0.0522,0.5223
0.02,0.055,0.0,0.7557,0.7557
0.025,0.055,0.0,0.6897,0.6916
0.030000000000000002,0.055,0.0,0.6125,0.6334
0.035,0.055,0.0,0.5111,0.5909
0.04000000000000001,0.055,0.0,0.4157,0.5657
0.045000000000000005,0.055,0.0,0.3324,0.549
0.05,0.055,0.0,0.2641,0.5385
0.05500000000000001,0.055,0.0,0.2041,0.535
0.06000000000000001,0.055,0.0,0.1574,0.5321
0.065,0.055,0.0,0.1199,0.5294
0.07,0.055,0.0,0.0887,0.5266
0.07500000000000001,0.055,0.0,0.0682,0.5249
0.08000000000000002,0.055,0.0,0.0522,0.5223
0.02,0.055,0.005,0.7557,0.7557
0.025,0.055,0.005,0.6897,0.6916
0.030000000000000002,0.055,0.005,0.6125,0.6334
0.035,0.055,0.005,0.5111,0.5909
0.04000000000000001,0.055,0.005,0.4157,0.5657
0.045000000000000005,0.055,0.005,0.3324,0.549
0.05,0.055,0.005,0.2641,0.5385
0.05500000000000001,0.055,0.005,0.2041,0.535
0.06000000000000001,0.055,0.005,0.1574,0.5321
0.065,0.055,0.005,0.1199,0.5294
0.07,0.055,0.005,0.0887,0.5266
0.07500000000000001,0.055,0.005,0.0682,0.5249
0.08000000000000002,0.055,0.005,0.0522,0.5223
0.02,0.055,0.01,0.7557,0.7557
0.025,0.055,0.01,0.6897,0.6916
0.030000000000000002,0.055,0.01,0.6125,0.6334
0.035,0.055,0.01,0.5111,0.5909
0.04000000000000001,0.055,0.01,0.4157,0.5657
0.045000000000000005,0.055,0.01,0.3324,0.549
0.05,0.055,0.01,0.2641,0.5385
0.05500000000000001,0.055,0.01,0.2041,0.535
0.06000000000000001,0.055,0.01,0.1574,0.5321
0.065,0.055,0.01,0.1199,0.5294
0.07,0.055,0.01,0.0887,0.5266
0.07500000000000001,0.055,0.01,0.0682,0.5249
0.08000000000000002,0.055,0.01,0.0522,0.5223
0.02,0.055,0.015,0.7557,0.7557
0.025,0.055,0.015,0.6897,0.6916
0.030000000000000002,0.055,0.015,0.6125,0.6334
0.035,0.055,0.015,0.5111,0.5909
0.04000000000000001,0.055,0.015,0.4157,0.5657
0.045000000000000005,0.055,0.015,0.3324,0.549
0.05,0.055,0.015,0.2641,0.5385
0.05500000000000001,0.055,0.015,0.2041,0.535
0.06000000000000001,0.055,0.015,0.1574,0.5321
0.065,0.055,0.015,0.1199,0.5294
0.07,0.055,0.015,0.0887,0.5266
0.07500000000000001,0.055,0.015,0.0682,0.5249
0.08000000000000002,0.055,0.015,0.0522,0.5223
0.02,0.055,0.02,0.601,0.601
0.025,0.055,0.02,0.5481,0.5499
0.030000000000000002,0.055,0.02,0.4862,0.5027
0.035,0.055,0.02,0.4062,0.4692
0.04000000000000001,0.055,0.02,0.3273,0.4484
0.045000000000000005,0.055,0.02,0.2634,0.436
0.05,0.055,0.02,0.2076,0.4274
0.05500000000000001,0.055,0.02,0.1602,0.4244
0.06000000000000001,0.055,0.02,0.1253,0.4221
0.065,0.055,0.02,0.0949,0.4198
0.07,0.055,0.02,0.0708,0.4178
0.07500000000000001,0.055,0.02,0.0539,0.4165
0.08000000000000002,0.055,0.02,0.0424,0.4144
0.02,0.055,0.025,0.601,0.601
0.025,0.055,0.025,0.5481,0.5499
0.030000000000000002,0.055,0.025,0.4862,0.5027
0.035,0.055,0.025,0.4062,0.4692
0.04000000000000001,0.055,0.025,0.3273,0.4484
0.045000000000000005,0.055,0.025,0.2634,0.436
0.05,0.055,0.025,0.2076,0.4274
0.05500000000000001,0.055,0.025,0.1602,0.4244
0.06000000000000001,0.055,0.025,0.1253,0.4221
0.065,0.055,0.025,0.0949,0.4198
0.07,0.055,0.025,0.0708,0.4178
0.07500000000000001,0.055,0.025,0.0539,0.4165
0.08000000000000002,0.055,0.025,0.0424,0.4144
0.02,0.055,0.03,0.601,0.601
0.025,0.055,0.03,0.5481,0.5499
0.030000000000000002,0.055,0.03,0.4862,0.5027
0.035,0.055,0.03,0.4062,0.4692
0.04000000000000001,0.055,0.03,0.3273,0.4484
0.045000000000000005,0.055,0.03,0.2634,0.436
0.05,0.055,0.03,0.2076,0.4274
0.05500000000000001,0.055,0.03,0.1602,0.4244
0.06000000000000001,0.055,0.03,0.1253,0.4221
0.065,0.055,0.03,0.0949,0.4198
0.07,0.055,0.03,0.0708,0.4178
0.07500000000000001,0.055,0.03,0.0539,0.4165
0.08000000000000002,0.055,0.03,0.0424,0.4144
0.02,0.055,0.035,0.601,0.601
0.025,0.055,0.035,0.5481,0.5499
0.030000000000000002,0.055,0.035,0.4862,0.5027
0.035,0.055,0.035,0.4062,0.4692
0.04000000000000001,0.055,0.035,0.3273,0.4484
0.045000000000000005,0.055,0.035,0.2634,0.436
0.05,0.055,0.035,0.2076,0.4274
0.05500000000000001,0.055,0.035,0.1602,0.4244
0.06000000000000001,0.055,0.035,0.1253,0.4221
0.065,0.055,0.035,0.0949,0.4198
0.07,0.055,0.035,0.0708,0.4178
0.07500000000000001,0.055,0.035,0.0539,0.4165
0.08000000000000002,0.055,0.035,0.0424,0.4144
0.02,0.06,-0.01,0.7264,0.7266
0.025,0.06,-0.01,0.6586,0.6612
0.030000000000000002,0.06,-0.01,0.5804,0.6005
0.035,0.06,-0.01,0.487,0.5598
0.04000000000000001,0.06,-0.01,0.397,0.5343
0.045000000000000005,0.06,-0.01,0.3166,0.518
0.05,0.06,-0.01,0.2516,0.51
0.05500000000000001,0.06,-0.01,0.1962,0.5053
0.06000000000000001,0.06,-0.01,0.1501,0.5026
0.065,0.06,-0.01,0.1132,0.4996
0.07,0.06,-0.01,0.0844,0.4978
0.07500000000000001,0.06,-0.01,0.0657,0.4956
0.08000000000000002,0.06,-0.01,0.0496,0.4936
0.02,0.06,-0.005,0.7264,0.7266
0.025,0.06,-0.005,0.6586,0.6612
0.030000000000000002,0.06,-0.005,0.5804,0.6005
0.035,0.06,-0.005,0.487,0.5598
0.04000000000000001,0.06,-0.005,0.397,0.5343
0.045000000000000005,0.06,-0.005,0.3166,0.518
0.05,0.06,-0.005,0.2516,0.51
0.05500000000000001,0.06,-0.005,0.1962,0.5053
0.06000000000000001,0.06,-0.005,0.1501,0.5026
0.065,0.06,-0.005,0.1132,0.4996
0.07,0.06,-0.005,0.0844,0.4978
0.07500000000000001,0.06,-0.005,0.0657,0.4956
0.08000000000000002,0.06,-0.005,0.0496,0.4936
0.02,0.06,0.0,0.7264,0.7266
0.025,0.06,0.0,0.6586,0.6612
0.030000000000000002,0.06,0.0,0.5804,0.6005
0.035,0.06,0.0,0.487,0.5598
0.04000000000000001,0.06,0.0,0.397,0.5343
0.045000000000000005,0.06,0.0,0.3166,0.518
0.05,0.06,0.0,0.2516,0.51
0.05500000000000001,0.06,0.0,0.1962,0.5053
0.06000000000000001,0.06,0.0,0.1501,0.5026
0.065,0.06,0.0,0.1132,0.4996
0.07,0.06,0.0,0.0844,0.4978
0.07500000000000001,0.06,0.0,0.0657,0.4956
0.08000000000000002,0.06,0.0,0.0496,0.4936
0.02,0.06,0.005,0.7264,0.7266
0.025,0.06,0.005,0.6586,0.6612
0.030000000000000002,0.06,0.005,0.5804,0.6005
0.035,0.06,0.005,0.487,0.5598
0.04000000000000001,0.06,0.005,0.397,0.5343
0.045000000000000005,0.06,0.005,0.3166,0.518
0.05,0.06,0.005,0.2516,0.51
0.05500000000000001,0.06,0.005,0.1962,0.5053
0.06000000000000001,0.06,0.005,0.1501,0.5026
0.065,0.06,0.005,0.1132,0.4996
0.07,0.06,0.005,0.0844,0.4978
0.07500000000000001,0.06,0.005,0.0657,0.4956
0.08000000000000002,0.06,0.005,0.0496,0.4936
0.02,0.06,0.01,0.7264,0.7266
0.025,0.06,0.01,0.6586,0.6612
0.030000000000000002,0.06,0.01,0.5804,0.6005
0.035,0.06,0.01,0.487,0.5598
0.04000000000000001,0.06,0.01,0.397,0.5343
0.045000000000000005,0.06,0.01,0.3166,0.518
0.05,0.06,0.01,0.2516,0.51
0.05500000000000001,0.06,0.01,0.1962,0.5053
0.06000000000000001,0.06,0.01,0.1501,0.5026
0.065,0.06,0.01,0.1132,0.4996
0.07,0.06,0.01,0.0844,0.4978
0.07500000000000001,0.06,0.01,0.0657,0.4956
0.08000000000000002,0.06,0.01,0.0496,0.4936
0.02,0.06,0.015,0.7264,0.7266
0.025,0.06,0.015,0.6586,0.6612
0.030000000000000002,0.06,0.015,0.5804,0.6005
0.035,0.06,0.015,0.487,0.5598
0.04000000000000001,0.06,0.015,0.397,0.5343
0.045000000000000005,0.06,0.015,0.3166,0.518
0.05,0.06,0.015,0.2516,0.51
0.05500000000000001,0.06,0.015,0.1962,0.5053
0.06000000000000001,0.06,0.015,0.1501,0.5026
0.065,0.06,0.015,0.1132,0.4996
0.07,0.06,0.015,0.0844,0.4978
0.07500000000000001,0.06,0.015,0.0657,0.4956
0.08000000000000002,0.06,0.015,0.0496,0.4936
0.02,0.06,0.02,0.5773,0.5775
0.025,0.06,0.02,0.522,0.5242
0.030000000000000002,0.06,0.02,0.4613,0.4765
0.035,0.06,0.02,0.3869,0.4444
0.04000000000000001,0.06,0.02,0.3125,0.4241
0.045000000000000005,0.06,0.02,0.2509,0.4118
0.05,0.06,0.02,0.1978,0.4054
0.05500000000000001,0.06,0.02,0.1538,0.4018
0.06000000000000001,0.06,0.02,0.1193,0.3997
0.065,0.06,0.02,0.0898,0.3971
0.07,0.06,0.02,0.0669,0.3958
0.07500000000000001,0.06,0.02,0.0519,0.3941
0.08000000000000002,0.06,0.02,0.0402,0.3922
0.02,0.06,0.025,0.5773,0.5775
0.025,0.06,0.025,0.522,0.5242
0.030000000000000002,0.06,0.025,0.4613,0.4765
0.035,0.06,0.025,0.3869,0.4444
0.04000000000000001,0.06,0.025,0.3125,0.4241
0.045000000000000005,0.06,0.025,0.2509,0.4118
