,MORTGAGE30US,Dynamic_Friction,Empirical_CPR_Pct,US_CPR_Pct,Danish_CPR_Pct,Extension_Delta_Billions,US_Missed_Rolloff_Billions,Danish_Missed_Rolloff_Billions,Actual_Monthly_Rolloff_Billions,QT_Target_Billions
2022-06-30,5.462,0.09964591640649507,0.0,14.670124490405236,36.17619747971521,19.487287718399784,-27.225356083099513,-43.883892489823296,1.9872877183997844,-17.5
2022-07-31,5.4625,0.09686445458773374,0.7496913287446632,14.979608620057029,36.941511079231624,25.591318853800658,-23.02929730718766,-68.38686151645425,8.091318853800658,-17.5
2022-08-31,5.231111111111111,0.09443640145609229,0.7266217389882389,21.169798473920093,47.42602494270427,9.454583468799683,-23.94885922938188,-68.66237812989188,-8.045416531200317,-17.5
2022-09-30,6.046666666666667,0.0941251929540973,2.0653978379786593,12.007561616283125,38.084338693022474,23.947047029700116,-12.963677517671158,-59.758435798398054,-11.052952970299884,-35.0
2022-10-31,6.8525,0.09297458969734236,5.913070408858921,8.465299846495677,38.30203379371109,15.408688090199576,-3.9024338311161912,-51.643496375909336,-19.591311909800424,-35.0
2022-11-30,6.8637500000000005,0.09463446031944225,6.026558705571685,9.49550307698397,43.18102737366376,15.271343452600377,6.875455788236792,-44.22441071203022,-19.728656547399623,-35.0
2022-12-31,6.357777777777778,0.09471741975166133,4.980772247555421,12.708969365420508,46.153130748219944,17.671566635300223,7.150416491555916,-47.63576890547468,-17.328433364699777,-35.0
2023-01-31,6.30875,0.09367743226857606,4.699653853229359,13.119721210949047,46.6416081258089,18.365231404199676,1.8083163922613252,-50.80058462526317,-16.634768595800324,-35.0
2023-02-28,6.21125,0.09356372961565405,0.0,13.75490560743191,46.79642094442883,30.515236293300404,-2.048978943459339,-50.36481560798495,-4.484763706699596,-35.0
2023-03-31,6.562,0.09641007784817755,8.972844995619846,11.37453564579332,45.305122473376194,9.256874014099594,-3.073893335118484,-47.38892748922521,-25.743125985900406,-35.0
2023-04-30,6.328749999999999,0.09554767944375844,5.753627854993539,12.816394541757427,45.86704703827975,16.32168943070019,-0.4685045482361261,-42.703461221842616,-18.67831056929981,-35.0
2023-05-31,6.4255555555555555,0.09743870276914068,5.256777475961499,12.050756906961285,45.07160844368266,17.477291229100047,-0.3640488302754221,-39.18090607380563,-17.522708770899953,-35.0
2023-06-30,6.714444444444444,0.09408713789289852,6.521799648752788,10.810249437692592,46.04603473015356,14.908458292699834,0.16685513524365803,-35.827422518875025,-20.091541707300166,-35.0
2023-07-31,6.8275,0.08966379331003417,6.810906315060842,10.577326771286415,47.68458211458994,14.433981479900012,2.511879473116167,-33.58970953430678,-20.566018520099988,-35.0
2023-08-31,7.034999999999999,0.09018061477779023,5.9646772357521245,9.530862402949909,47.21904781275599,16.31795469669987,4.0379764167462255,-32.363337073480366,-18.68204530330013,-35.0
2023-09-30,7.18375,0.09020972159047644,6.220463058458943,8.919318057250875,47.048749162399346,15.901604143600252,5.824600640072294,-29.771198854969626,-19.098395856399748,-35.0
2023-10-31,7.5600000000000005,0.09136943505219332,5.143260379408706,7.366348284368319,46.2323716666899,18.211046696500034,7.743325963702375,-26.617806663152777,-16.788953303499966,-35.0
2023-11-30,7.5055555555555555,0.09220906200858736,4.721688171178697,7.5067409898554684,45.9803169460638,19.147868290899623,10.166869170670402,-23.358422399440087,-15.852131709100377,-35.0
2023-12-31,6.89125,0.08898290246215315,4.443364423736387,10.299513500330413,47.88959621157603,19.77963139450003,10.516616736142979,-20.664416773110474,-15.22036860549997,-35.0
2024-01-31,6.638888888888889,0.08547871774203424,4.169859265536435,11.895849320867303,49.664292449356275,20.39082697380036,6.837748357770263,-19.626184970367014,-14.609173026199642,-35.0
2024-02-29,6.757777777777778,0.08654894175532624,3.8479205235926606,11.169213871593556,49.07321233708648,21.088398402499934,3.523598607141267,-18.877081936986357,-13.911601597500066,-35.0
2024-03-31,6.83875,0.0845894748834425,4.313704366649248,10.878281044077255,49.81240446009264,20.215591540699734,3.7731793670238503,-16.696537945302943,-14.784408459300266,-35.0
2024-04-30,6.945,0.08475888741867722,0.0,10.28371385339606,49.60548681281668,31.296821715499846,4.991122478843678,-14.542239727739926,-3.7031782845001544,-35.0
2024-05-31,7.074,0.08755014294569353,12.169891675788158,9.518045831318418,48.27591663380773,4.946581949300253,6.191152224534026,-12.287503028554326,-30.053418050699747,-35.0
2024-06-30,6.938750000000001,0.0867689295304314,6.408277953638815,10.191842192817862,48.759224032904,16.368919224099955,7.5274878378548955,-9.509347299819467,-18.631080775900045,-35.0
2024-07-31,6.8475,0.08663309705477004,6.032012838742307,10.685505020929565,48.928085604650924,17.206204580800204,7.299228435447915,-7.481175611439852,-17.793795419199796,-35.0
2024-08-31,6.516666666666667,0.08529290000486482,6.396170821639104,12.57646740524477,49.88957915487172,16.617810441299753,6.203628711811682,-5.86711415156752,-18.382189558700247,-35.0
2024-09-30,6.21375,0.08352529542622887,6.098025073195834,14.822500347318774,51.080188524965614,17.29472891739988,3.557244775718871,-4.59065540811477,-17.70527108260012,-35.0
2024-10-31,6.364,0.08292614223148888,5.300509430148579,13.837503576175322,51.17023253714973,18.893921651500023,0.3051912874343259,-3.5351822144724707,-16.106078348499977,-35.0
2024-11-30,6.7871428571428565,0.08231826380695836,5.793686415052186,11.343672716411668,50.92760283412469,18.058483553400492,0.8580060479545253,-2.0435133663595693,-16.941516446599508,-35.0
2024-12-31,6.71,0.08312507240750681,5.13135614918229,11.7055923923653,50.64795649922075,19.29214166499969,4.437219943954517,-0.23271035884385327,-15.70785833500031,-35.0
2025-01-31,6.948,0.08526840616992166,5.2058282551993145,10.233200592309686,49.37775280447064,19.31781767350003,5.9100879940118425,1.6255193127518055,-15.68218232649997,-35.0
2025-02-28,6.86625,0.08833354274192129,4.458927360506305,10.471139138021458,48.19289182466827,20.75785301160022,7.633578739471076,3.7286684565789088,-14.242146988399782,-35.0
2025-03-31,6.66375,0.09112906551740914,4.523637928809307,11.288800026859366,47.294076569555365,20.700089008399573,8.262861182428964,5.786221082635549,-14.299910991600427,-35.0
2025-04-30,6.716666666666667,0.09055710812062097,5.51782729663115,11.068075188328855,47.46048005139217,18.97239728160048,7.282578113956735,7.488573878127973,-16.02760271839952,-35.0
2025-05-31,6.807777777777777,0.08874566823543324,5.983109148996725,10.743593616333733,48.093372740181124,18.22780627029988,7.183837664614423,8.693103830347908,-16.77219372970012,-35.0
2025-06-30,6.831428571428572,0.08480152083100213,6.522547425742334,10.901679843089193,49.72305949060376,17.371467653400032,8.045488301527506,9.596275329682744,-17.628532346599968,-35.0
2025-07-31,6.725,0.08382380512308932,6.6887106150260625,11.564728569755983,50.30538779659031,17.192267826199895,8.309905738492397,10.172948925840899,-17.807732173800105,-35.0
2025-08-31,6.6075,0.0856705881051138,6.756808367552375,12.048703904827313,49.62256135599748,17.190086190300008,7.552114912506049,10.897558961301133,-17.809913809699992,-35.0
2025-09-30,6.385,0.08717990436741915,0.0,13.259646083622288,49.26716215459671,31.371683817999838,6.575607217494749,12.066608483972761,-3.6283161820001624,-35.0
2025-10-31,6.267,0.08724289204961484,13.497501108600144,14.053352321748006,49.38429990825127,5.776049021700146,5.025597804330918,13.25887040152534,-29.223950978299854,-35.0
