Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish
0.02,0.05,-0.01,0.8739,0.8739
0.025,0.05,-0.01,0.785,0.785
0.030000000000000002,0.05,-0.01,0.6918,0.6918
0.035,0.05,-0.01,0.5971,0.6777
0.04000000000000001,0.05,-0.01,0.5098,0.666
0.045000000000000005,0.05,-0.01,0.3757,0.6546
0.05,0.05,-0.01,0.2767,0.6428
0.05500000000000001,0.05,-0.01,0.2058,0.6318
0.06000000000000001,0.05,-0.01,0.1505,0.6227
0.065,0.05,-0.01,0.1137,0.6147
0.07,0.05,-0.01,0.0838,0.6052
0.07500000000000001,0.05,-0.01,0.0637,0.5986
0.08000000000000002,0.05,-0.01,0.047,0.5918
0.02,0.05,-0.005,0.8739,0.8739
0.025,0.05,-0.005,0.785,0.785
0.030000000000000002,0.05,-0.005,0.6918,0.6918
0.035,0.05,-0.005,0.5971,0.6777
0.04000000000000001,0.05,-0.005,0.5098,0.666
0.045000000000000005,0.05,-0.005,0.3757,0.6546
0.05,0.05,-0.005,0.2767,0.6428
0.05500000000000001,0.05,-0.005,0.2058,0.6318
0.06000000000000001,0.05,-0.005,0.1505,0.6227
0.065,0.05,-0.005,0.1137,0.6147
0.07,0.05,-0.005,0.0838,0.6052
0.07500000000000001,0.05,-0.005,0.0637,0.5986
0.08000000000000002,0.05,-0.005,0.047,0.5918
0.02,0.05,0.0,0.8739,0.8739
0.025,0.05,0.0,0.785,0.785
0.030000000000000002,0.05,0.0,0.6918,0.6918
0.035,0.05,0.0,0.5971,0.6777
0.04000000000000001,0.05,0.0,0.5098,0.666
0.045000000000000005,0.05,0.0,0.3757,0.6546
0.05,0.05,0.0,0.2767,0.6428
0.05500000000000001,0.05,0.0,0.2058,0.6318
0.06000000000000001,0.05,0.0,0.1505,0.6227
0.065,0.05,0.0,0.1137,0.6147
0.07,0.05,0.0,0.0838,0.6052
0.07500000000000001,0.05,0.0,0.0637,0.5986
0.08000000000000002,0.05,0.0,0.047,0.5918
0.02,0.05,0.005,0.8739,0.8739
0.025,0.05,0.005,0.785,0.785
0.030000000000000002,0.05,0.005,0.6918,0.6918
0.035,0.05,0.005,0.5971,0.6777
0.04000000000000001,0.05,0.005,0.5098,0.666
0.045000000000000005,0.05,0.005,0.3757,0.6546
0.05,0.05,0.005,0.2767,0.6428
0.05500000000000001,0.05,0.005,0.2058,0.6318
0.06000000000000001,0.05,0.005,0.1505,0.6227
0.065,0.05,0.005,0.1137,0.6147
0.07,0.05,0.005,0.0838,0.6052
0.07500000000000001,0.05,0.005,0.0637,0.5986
0.08000000000000002,0.05,0.005,0.047,0.5918
0.02,0.05,0.01,0.8739,0.8739
0.025,0.05,0.01,0.785,0.785
0.030000000000000002,0.05,0.01,0.6918,0.6918
0.035,0.05,0.01,0.5971,0.6777
0.04000000000000001,0.05,0.01,0.5098,0.666
0.045000000000000005,0.05,0.01,0.3757,0.6546
0.05,0.05,0.01,0.2767,0.6428
0.05500000000000001,0.05,0.01,0.2058,0.6318
0.06000000000000001,0.05,0.01,0.1505,0.6227
0.065,0.05,0.01,0.1137,0.6147
0.07,0.05,0.01,0.0838,0.6052
0.07500000000000001,0.05,0.01,0.0637,0.5986
0.08000000000000002,0.05,0.01,0.047,0.5918
0.02,0.05,0.015,0.8739,0.8739
0.025,0.05,0.015,0.785,0.785
0.030000000000000002,0.05,0.015,0.6918,0.6918
0.035,0.05,0.015,0.5971,0.6777
0.04000000000000001,0.05,0.015,0.5098,0.666
0.045000000000000005,0.05,0.015,0.3757,0.6546
0.05,0.05,0.015,0.2767,0.6428
0.05500000000000001,0.05,0.015,0.2058,0.6318
0.06000000000000001,0.05,0.015,0.1505,0.6227
0.065,0.05,0.015,0.1137,0.6147
0.07,0.05,0.015,0.0838,0.6052
0.07500000000000001,0.05,0.015,0.0637,0.5986
0.08000000000000002,0.05,0.015,0.047,0.5918
0.02,0.05,0.02,0.6974,0.6974
0.025,0.05,0.02,0.6275,0.6275
