rep,central_trapped_b,central_share_pct,null_trapped_b,null_share_pct,marginal_b,marginal_pp
1,818.5739941116642,107.03836074971585,748.2278596769465,97.8397605386955,70.34613443471767,9.198600211020349
2,818.4177238657408,107.01792654208411,748.0885063704917,97.8215384236573,70.32921749524905,9.19638811842681
3,818.61669736605,107.04394471204668,748.2742947562249,97.84583248185884,70.34240260982506,9.198112230187846
4,818.2516161346591,106.99620596536077,747.7878968115215,97.7822301208657,70.46371932313764,9.213975844495067
5,817.8993561467892,106.95014374993426,747.4149315321165,97.73346044040768,70.48442461467266,9.216683309526573
6,818.4240946194387,107.01875959448681,747.9384010095692,97.8019103486287,70.48569360986949,9.216849245858114
7,818.4550644480183,107.02280927076251,748.0903470018842,97.82177910827275,70.36471744613414,9.201030162489758
8,818.372796743009,107.01205178231285,747.6981320088131,97.77049229703543,70.67466473419586,9.24155948527742
9,818.9780134830517,107.09119112489942,748.8567947208278,97.92200133378472,70.12121876222386,9.169189791114704
10,818.3222390608931,107.00544075941704,747.8088322441458,97.78496767960299,70.5134068167473,9.220473079814056
11,818.5001100270898,107.02869952011996,748.1098796466863,97.82433323568917,70.39023038040352,9.20436628443079
12,818.2451553195899,106.99536113635438,748.0405626015732,97.81526920124111,70.20459271801667,9.180091935113268
13,818.6226494748355,107.04472302160939,748.2419103629369,97.84159783429325,70.3807391118986,9.203125187316132
14,818.9093137653633,107.08220781341112,748.7904536144089,97.91332643898902,70.11886015095445,9.1688813744221
15,818.1036420814452,106.97685658435985,747.456442687515,97.73888852150804,70.64719939393012,9.237968062851806
16,818.4717202730295,107.02498721951113,748.2817468551581,97.8468069331115,70.18997341787144,9.178180286399638
17,818.3786714481638,107.01281997042314,747.9743739452496,97.80661424112257,70.40429750291423,9.206205729300564
18,818.8158991490099,107.0699927327019,748.3231936292689,97.85222659558684,70.49270551974098,9.217766137115063
19,818.5586979446164,107.0363605925421,748.1375828132191,97.82795575674966,70.4211151313973,9.208404835792436
20,818.2455142348068,106.99540806882075,747.8861637960993,97.79507970687831,70.35935043870757,9.20032836194244
21,818.7257370689344,107.05820296009432,748.504185914966,97.87589350622501,70.22155115396845,9.182309453869308
22,818.5507059447899,107.03531554277667,748.2620438532372,97.84423052945999,70.28866209155274,9.19108501331668
23,818.5623546338979,107.03683874849293,748.0387133757583,97.81502739280191,70.5236412581396,9.221811355691017
24,818.4149780754982,107.01756749710023,748.2945086856889,97.84847569541034,70.12046938980927,9.169091801689888
25,818.4308299250372,107.01964031641981,748.0567386098523,97.81738440820116,70.37409131518484,9.202255908218646
26,818.3397311180448,107.00772805554071,748.0426430111621,97.81554123972961,70.29708810688271,9.192186815811098
27,818.5798291994627,107.03912375738194,748.3350830345298,97.85378127782519,70.24474616493285,9.185342479556752
28,818.374173552036,107.01223181659489,748.0423107428963,97.81549779167146,70.3318628091397,9.19673402492343
29,818.2484243430508,106.99578860035277,747.840570578559,97.78911784722736,70.40785376449185,9.206670753125408
30,817.8975707018124,106.9499102816041,747.5219393486997,97.74745299496826,70.37563135311268,9.202457286635848
31,818.6160636241272,107.04386184269457,748.2811134805584,97.84672411179127,70.33495014356879,9.197137730903293
32,818.401681210287,107.01582877260427,747.8769856156385,97.79387954977798,70.5246955946485,9.221949222826282
33,818.7285728541412,107.05857377299841,748.2488373126478,97.8425036159909,70.47973554149348,9.216070157007508
34,818.6691787761713,107.05080728543605,748.5311064702192,97.8794136914807,70.13807230595205,9.171393593955344
35,818.5665201673096,107.0373834419125,748.1587274360033,97.83072066960762,70.40779273130624,9.206662772304881
