rep,converged,fit_method,failure,gap_std,burn_std,fric_std,head_const,head_age_linear,head_age_spline_12,head_age_spline_24,head_age_spline_36,head_age_spline_60,head_age_spline_84,head_age_spline_120,head_rate_gap_bps,head_burnout_orth,head_friction,resc_rate_gap_bps,resc_burnout_orth,resc_friction
0,True,"ridge(alpha=0.0001, warm_start)",,221.4902087925809,0.12106603247680771,0.004086956027517447,-12.777321818819413,-154.0143043639064,-1004.9127603785183,-188.60509461626123,-20.343345001889727,-0.03149265111952904,9.305338111727059e-09,3.689775246628648e-08,1.2357866739337835,0.4549605884565884,1.2887220263674102,1.2328688115681583,0.4518250213945685,1.2876246187183733
1,False,,RuntimeError('non-converged fit (max |macro beta| = 32.6)'),,,,,,,,,,,,,,,,,
2,True,"ridge(alpha=0.0001, warm_start)",,219.8306687179982,0.12557578896612004,0.004079053290919639,-16.574478728070467,-193.37659239236197,-1004.139755504808,-153.6159139903394,-13.002363950113088,-0.043228089904791815,9.305338111735621e-09,3.689775246632043e-08,3.5458040339906747,-0.8034555320590527,0.4108540467449885,3.564136593460526,-0.769262816997725,0.4112994937967284
3,True,"ridge(alpha=0.0001, warm_start)",,223.40423242128884,0.11603583750549178,0.00408508454067873,-15.575657715248806,-185.03795951730663,-1004.8056172585284,-159.4201279761153,-14.195667701796365,-0.02225897322074899,9.305338111734574e-09,3.689775246631628e-08,2.6363264386905,-0.9901565055584444,0.6410734993933306,2.6075682202278725,-1.0259602035285944,0.640821037919885
4,True,"ridge(alpha=0.0001, warm_start)",,214.8928737233707,0.11958119688315774,0.0040598622641072534,-13.852049315629003,-168.98834405580004,-1005.0872119609314,-174.8782599617596,-13.791271036094189,0.1561957376886918,9.305338111736009e-09,3.689775246632197e-08,0.7077884173148992,0.9732263613483265,1.3543961202865016,0.7277954374310508,0.978520163058219,1.3622737446524498
5,True,"ridge(alpha=0.0001, warm_start)",,222.4318305746475,0.11769297906711343,0.004080547185936545,-15.990826456733132,-182.2929234380867,-1003.659807720451,-168.86084528722154,-19.777739587847865,-0.027340853696811565,9.305338111709251e-09,3.6897752466215865e-08,3.73325454889928,-1.7192791121745608,-0.01844265770221949,3.708673131517909,-1.7563644655394979,-0.01845589398343064
6,True,"ridge(alpha=0.0001, warm_start)",,221.03932985003644,0.11723566554061624,0.004086257437225447,-3.4764275327459,0.04736817478254608,-0.004416555599671819,0.005577707368654899,-0.0017036469974458237,0.002581374143099939,4.03667696509298e-08,7.019797583568151e-08,0.5794440272075665,-0.154072828383707,-0.023571609683437855,0.5792550469456008,-0.15801019641498246,-0.023555563737189637
7,True,"ridge(alpha=0.0001, warm_start)",,218.83251229631455,0.12096693393246002,0.0040889197864945465,-13.85145428761534,-161.34082479099712,-1003.850841852083,-187.8443873195494,-22.3916426700419,0.042756643833653366,9.305338111715782e-09,3.6897752466241766e-08,2.0317290033280204,-0.18895788510487319,0.7818850979696418,2.0515486727775794,-0.18780932745015533,0.7808440947761793
8,True,"ridge(alpha=0.0001, warm_start)",,223.50515054701913,0.12025749625105524,0.004079812282915833,-14.585737799640864,-168.09860571448615,-1003.4850256239711,-183.57404388920548,-24.047857278766088,-0.11353929772142114,9.305338111721571e-09,3.6897752466264715e-08,2.429739073578017,-0.021514687977502014,0.36120056370015896,2.402149281740045,-0.02151006413783931,0.36152490738948967
9,True,"ridge(alpha=0.0001, warm_start)",,220.11783245006208,0.12088207650759805,0.004076540390226869,-3.7214684662304527,0.062385811930516746,-0.004018181518859739,0.004449965378794141,-0.00087668889029521,0.0020695987111858777,-7.461303527003415e-07,-4.222058146368814e-06,0.7145744240603177,-0.11542349661862124,-0.05525792202950833,0.7173318783649949,-0.11480244193064043,-0.05535193210334517
10,True,"ridge(alpha=0.0001, warm_start)",,222.7445041008687,0.12769080543648798,0.004078549888923255,-13.949387060071636,-166.26801004961814,-1003.9471554271411,-183.2445023238499,-19.9042105218133,-0.058042330327789375,9.305338111733347e-09,3.6897752466311415e-08,1.785380757764174,-0.2993089828516621,0.8379165220083987,1.7711353187787962,-0.2818246236297965,0.8389285226634519
11,True,"ridge(alpha=0.0001, warm_start)",,217.65089413279276,0.11749461357226187,0.004078999112571026,-4.127688496627238,0.04036650921198289,-0.003779739177221411,0.005032440275088265,-0.0020868177735972114,0.0032499395557398576,1.1439416913942986e-06,-8.52793679220275e-08,0.6053341379204971,-0.10366123088752502,-0.05613800701467045,0.614557611756726,-0.10607601966437911,-0.056199618166444754
12,True,"ridge(alpha=0.0001, warm_start)",,219.69791837630916,0.11515912619666317,0.004077572433991927,-3.4496690782879345,0.0451811649647444,-0.003974553576521728,0.004647005572691926,-0.0008243281961379204,0.000966379307044847,-3.070839288954671e-08,1.1887872767167376e-07,0.6533259229188042,-0.07932484924083283,-0.061807506169380556,0.6571005635034788,-0.08281894721426526,-0.06189698877498262
13,True,"ridge(alpha=0.0001, warm_start)",,218.4817918390442,0.12233174860288554,0.004077412423679,-15.272188384923368,-178.62961191034415,-1004.5877149460023,-167.51987479015645,-18.06136389655483,-0.021045546618582583,9.305338111718735e-09,3.689775246625347e-08,2.8422029391369863,-1.127425612938748,0.3911609438440296,2.8745358297868866,-1.1080708355001452,0.39174262468357773
14,True,"ridge(alpha=0.0001, warm_start)",,219.8318969293987,0.11926138473361184,0.004089333386427913,-4.125084052270393,0.05075297900337135,-0.003925474733126357,0.004061008172618229,-0.0001282866061377008,0.0010206271540821401,0.0005184041698270206,0.0007636818889631709,0.6537047320063986,-0.13912844746639633,-0.020291646182370518,0.6570808530599768,-0.1402603448268752,-0.02026258026075972
15,True,"ridge(alpha=0.0001, warm_start)",,217.61451433575954,0.12202418922674399,0.004087640713145234,-4.036355529510184,0.06371551727482902,-0.004507553054380078,0.005392670280290955,-0.001390725869998804,0.002212224522486812,-8.699682719716709e-06,1.5990088272266006e-06,0.6910147885104034,-0.1293014922247255,-0.041515659581497444,0.7016610589498478,-0.12740205030048168,-0.04147335902694207
16,True,"ridge(alpha=0.0001, warm_start)",,221.71481937755124,0.11582476031371568,0.00407670468165108,-3.6844590132725283,0.05830434996174108,-0.004055659634046804,0.004237190444532098,-0.0003321796210113421,0.0017725515952905638,-4.020398972491336e-08,1.2908793531636945e-07,0.6732154029302452,-0.17386663885761866,0.01536055021662167,0.6709454509406342,-0.18048190210965442,0.015386062972894002
17,True,"ridge(alpha=0.0001, warm_start)",,223.96016549932412,0.11683278488816742,0.004084612507854374,-15.485073900296669,-181.94500991289604,-1003.9264749591772,-167.99584265325691,-17.218893970898343,-0.07365413404326202,9.305338111727897e-09,3.68977524662898e-08,2.873059141029956,-0.34162469031977927,0.6376038277565189,2.8346645804138215,-0.3515631386925318,0.637426387498996
18,True,"ridge(alpha=0.0001, warm_start)",,226.18256716207375,0.11807713927235515,0.004095215820768687,-3.6733304094784005,0.051813845106807484,-0.004203954146399536,0.004995778988762619,-0.001326170018511335,0.002811779615083369,1.5225102252370922e-05,4.2908882736411457e-05,0.6333423321231372,-0.1340507043836694,-0.029430177761676803,0.6187386977671704,-0.13649668015444016,-0.02934580830148914
19,True,"ridge(alpha=0.0001, warm_start)",,220.04971272607534,0.12545748439070786,0.004090019328321399,-11.7551242061565,-138.25031539500245,-1001.749743762609,-214.65910089349111,-29.705370064506848,0.059212641929845815,9.305338111696102e-09,3.6897752466163727e-08,0.7257100112207818,0.7115012280648307,1.1421767454856928,0.7287359578267699,0.681864201180405,1.1403494006775932
20,True,"ridge(alpha=0.0001, warm_start)",,217.50673400213842,0.11336022780510105,0.0040813289970150525,-13.977998153986597,-166.3986504993649,-1003.5332380186128,-185.27556039896848,-20.857909009100833,-0.034535231310962755,9.30533811172435e-09,3.6897752466275733e-08,0.9924508991789346,1.1628172516354085,1.0542615193892604,1.0082406734166491,1.233302373711866,1.0548160649362397
21,True,"ridge(alpha=0.0001, warm_start)",,220.99297158496358,0.12219962879649228,0.004088026765532305,-3.7048547539209165,0.044890708563604824,-0.0037308244073081024,0.004753386300519844,-0.0018892179025549278,0.0035453207048391933,-3.7853327348363925e-07,3.334673110779393e-07,0.6568362637822592,-0.17905416434014343,-0.0322237817004413,0.6567597840623789,-0.17617056629777145,-0.03218790874706227
22,True,"ridge(alpha=0.0001, warm_start)",,220.0996706044055,0.11916300315120511,0.004089860008413287,-15.330539488735266,-182.1407584245169,-1006.384095419258,-152.8768353762702,-11.744796021283452,0.10586989113109543,9.305338111703347e-09,3.689775246619245e-08,2.644785265976456,0.029226408364689288,0.6868094712950713,2.6552102456119013,0.029488509345175915,0.6857373708734866
23,True,"ridge(alpha=0.0001, warm_start)",,222.8242471901485,0.1155451301900624,0.004075606176324961,-12.5346406469167,-148.93422457255986,-1003.8437841205737,-197.52518595310872,-25.727378970300578,-0.018814252138851906,9.3053381117186e-09,3.6897752466252936e-08,1.3519821904624143,0.9503509097657925,1.0572761504573691,1.3407148316913502,0.9888972280572178,1.0593176520361351
24,True,"ridge(alpha=0.0001, warm_start)",,220.3648998159721,0.11653037828226952,0.004084759504529908,-13.2564890753859,-154.44013312398363,-1003.5624222171389,-194.6629707630134,-25.758611956318063,0.02258059220321135,9.30533811170797e-09,3.689775246621079e-08,1.8673101215626886,0.0673589522102726,0.7251728209856244,1.872414182157477,0.06949842742117979,0.724944921694517
25,False,,RuntimeError('non-converged fit (max |macro beta| = 9.58e+86)'),,,,,,,,,,,,,,,,,
26,True,"ridge(alpha=0.0001, warm_start)",,217.80317635821947,0.11627853984058409,0.004088060259819275,-3.941246541664169,0.0630239484332818,-0.004392343743821645,0.004920591629286806,-0.0009138635393407983,0.002358088598443716,-1.0020358381976766e-07,2.670466660198957e-09,0.7084450311220998,-0.12525724147936285,-0.010907963200277789,0.7187367318993146,-0.12951560081509794,-0.010895730696722561
27,True,"ridge(alpha=0.0001, warm_start)",,222.676482589267,0.1161340663536047,0.004093116052802187,-3.752054397721931,0.04644677309083985,-0.0036748900535426834,0.004329859890491808,-0.0009876276326553756,0.0014287424739093178,2.3581984443976502e-07,-1.5231629465200657e-06,0.6953537978367782,-0.12482990778416228,-0.0413182380247514,0.6900163308668806,-0.1292343098357835,-0.04122092375226334
28,True,"ridge(alpha=0.0001, warm_start)",,212.97653116447717,0.12011534051764404,0.004077787414631296,-15.228556675948735,-179.29456692667438,-1005.9054189555775,-159.1884462137936,-12.690934673408377,0.17188300528336717,9.30533811172226e-09,3.689775246626745e-08,2.794379773330206,-0.9205367545965252,0.5089699201124528,2.899222663022996,-0.9214281321832203,0.5096799161050634
29,True,"ridge(alpha=0.0001, warm_start)",,223.0325785390819,0.11758090849409551,0.00408718818053684,-14.305616985097643,-163.34344755775015,-1002.2852291141588,-193.33912464780033,-29.757889124215048,-0.15463573497810254,9.305338111696258e-09,3.689775246616435e-08,2.4144327524683025,-0.16037069198233717,0.335765438928138,2.3920744889252012,-0.16398608689479097,0.33546046350797026
30,True,"ridge(alpha=0.0001, warm_start)",,216.2777640715786,0.12389367728473583,0.0040837306566667885,-15.191216956946658,-179.7566911443303,-1004.7913933439711,-165.44889939578368,-14.44091998069163,0.08210933620951333,9.305338111716274e-09,3.689775246624372e-08,2.4628260877803925,0.19345670336630275,0.8419131351362796,2.5162266929928907,0.187738546168615,0.8418605914341533
31,True,"ridge(alpha=0.0001, warm_start)",,216.19179003807258,0.12430598219995015,0.00408235422729104,-11.879705463125873,-142.62041761462544,-1004.1090847838594,-201.1086494207459,-23.485487783062474,0.18819976515163234,9.30533811171576e-09,3.6897752466241673e-08,0.6431976506607038,0.5959720198123583,1.1211672902192278,0.6574052121701671,0.576438065610729,1.1214753137372377
32,True,"ridge(alpha=0.0001, warm_start)",,220.8899465434344,0.12248826400320434,0.0040938400721386705,-13.759993181066104,-166.37730376548396,-1005.2507900814617,-176.17436749342917,-16.91916513782773,0.022552636238822095,9.305338111729851e-09,3.689775246629755e-08,1.3884056854808302,0.021852226865479496,1.0629869055198302,1.3888915137701214,0.021449641209246147,1.060295766050695
33,True,"ridge(alpha=0.0001, warm_start)",,220.1134511661154,0.1195701169626104,0.004090447576983953,-5.072466392214497,0.06328562144187767,-0.004109279774861983,0.00531572965612673,-0.0021585090111694476,0.003926317526290973,4.634348755400054e-06,-3.7421723302423884e-06,0.752835629828471,-0.2151933371452853,-0.022883604125403568,0.7557557721571533,-0.21638391663180137,-0.022844601161561767
34,True,"ridge(alpha=0.0001, warm_start)",,224.03423679968415,0.1191278227280019,0.004080900461156646,-13.820495571184921,-156.49522830637443,-1001.5404358514492,-202.72439478192447,-29.354841363147223,0.03749743109829122,9.305338111693308e-09,3.689775246615265e-08,2.9533900077490145,-0.7087388999235817,0.09939299221266279,2.912958518249119,-0.7153060145954623,0.09945571606288169
35,True,"ridge(alpha=0.0001, warm_start)",,220.5365645503594,0.11683667620267113,0.004071155771726533,-13.90517910536484,-168.70203136015945,-1005.0475250773246,-175.27122506255296,-15.10464195916151,0.1255258226317009,9.305338111727915e-09,3.6897752466289875e-08,1.3393770182957485,1.0763525184460763,1.2138725089585134,1.341992624076318,1.107628568471859,1.2175458966051047
36,True,"ridge(alpha=0.0001, warm_start)",,222.24531830555304,0.13237380848457336,0.0040897658935525666,-12.765608761275839,-152.38598097565608,-1002.2536025032816,-202.73172808814937,-26.870411874228182,-0.18142796230557598,9.305338111709008e-09,3.68977524662149e-08,0.7206381878943584,1.015398796472547,1.421828784990269,0.7164939742493716,0.9222600390085832,1.4196419976816115
37,True,"ridge(alpha=0.0001, warm_start)",,221.29569471332664,0.11284569749922928,0.004088718236131216,-4.074477220786316,0.06927329344739368,-0.004881944888836668,0.005811496890742758,-0.0012334101592725766,0.0015241043595975478,-1.0471154163532794e-07,-1.0523883644738435e-07,0.7039673681465142,-0.1063729202804777,-0.06079119102632359,0.7029225152591868,-0.11333521894083463,-0.06071324619513278
38,True,"ridge(alpha=0.0001, warm_start)",,223.82145245132915,0.11950185948311494,0.004079552706226132,-15.310781628826337,-179.7622131801013,-1004.0267614872008,-169.8447087097415,-16.27547895394885,-0.0070732951743755264,9.30533811169542e-09,3.6897752466161027e-08,2.8984224202734317,0.5506415817312114,0.7433534613264556,2.861461202044352,0.5540043209043314,0.7440683041612745
