Panel,Source,Empirical_Trapped_B,ABM_Trapped_US_B,CPR_R2,CPR_RMSE,CPR_R2_Smooth,Share_Explained_Pct,Ramp_Months,Full_Cap_B,QT_End,Vs_Empirical_B
B_DataSource,SOMA,672.919931545,257.5855242053275,-2.1663568158848188,4.961345652893906,-5.269104940197543,38.278777627216414,,,,
B_DataSource,WSHOMCB,671.644,257.5855242053275,-1.8112236563683282,5.1390599283575265,-5.014947961045674,38.351496358982956,,,,
C_CapSchedule,,310.41993154500005,188.59246978275806,-2.1663568158848188,4.961345652893906,,60.7539821441584,2.0,30.0,2025-06,-121.827461762242
C_CapSchedule,,400.41993154500005,216.0259841775188,-2.1663568158848188,4.961345652893906,,53.94985792640078,2.0,30.0,2025-09,-184.39394736748125
C_CapSchedule,,490.41993154500005,234.49245034216426,-2.1663568158848188,4.961345652893906,,47.81462482640709,2.0,30.0,2025-12,-255.9274812028358
C_CapSchedule,,480.41993154500005,358.59246978275803,-2.1663568158848188,4.961345652893906,,74.6414639021215,2.0,35.0,2025-06,-121.82746176224202
C_CapSchedule,,585.419931545,401.0259841775188,-2.1663568158848188,4.961345652893906,,68.50227718061437,2.0,35.0,2025-09,-184.39394736748125
C_CapSchedule,,690.419931545,434.49245034216426,-2.1663568158848188,4.961345652893906,,62.9316203791902,2.0,35.0,2025-12,-255.9274812028358
C_CapSchedule,,297.91993154500005,176.09246978275806,-2.1663568158848188,4.961345652893906,,59.10731412616471,3.0,30.0,2025-06,-121.827461762242
C_CapSchedule,,387.91993154500005,203.5259841775188,-2.1663568158848188,4.961345652893906,,52.46597754513913,3.0,30.0,2025-09,-184.39394736748125
C_CapSchedule,,477.91993154500005,221.99245034216426,-2.1663568158848188,4.961345652893906,,46.44971588117619,3.0,30.0,2025-12,-255.9274812028358
C_CapSchedule,,462.91993154500005,341.09246978275803,-2.1663568158848188,4.961345652893906,,73.68282213391815,3.0,35.0,2025-06,-121.82746176224202
C_CapSchedule,,567.919931545,383.5259841775188,-2.1663568158848188,4.961345652893906,,67.53169995885759,3.0,35.0,2025-09,-184.39394736748125
C_CapSchedule,,672.919931545,416.99245034216426,-2.1663568158848188,4.961345652893906,,61.96761766065757,3.0,35.0,2025-12,-255.9274812028358
C_CapSchedule,,285.41993154500005,163.59246978275806,-2.1663568158848188,4.961345652893906,,57.31641406303317,4.0,30.0,2025-06,-121.827461762242
C_CapSchedule,,375.41993154500005,191.0259841775188,-2.1663568158848188,4.961345652893906,,50.88328245955724,4.0,30.0,2025-09,-184.39394736748125
C_CapSchedule,,465.41993154500005,209.49245034216426,-2.1663568158848188,4.961345652893906,,45.0114909446909,4.0,30.0,2025-12,-255.9274812028358
C_CapSchedule,,445.41993154500005,323.59246978275803,-2.1663568158848188,4.961345652893906,,72.64885265918237,4.0,35.0,2025-06,-121.82746176224202
C_CapSchedule,,550.419931545,366.0259841775188,-2.1663568158848188,4.961345652893906,,66.49940585365486,4.0,35.0,2025-09,-184.39394736748125
C_CapSchedule,,655.419931545,399.49245034216426,-2.1663568158848188,4.961345652893906,,60.95213635027146,4.0,35.0,2025-12,-255.9274812028358
